"Density","Year","E_km","N_km"
3.11328664748164,1977,426.550526042158,4379.12027543136
3.43657217676452,1977,515.414667860106,4137.33938371588
3.84826705119168,1977,358.794243347014,5345.37137869473
3.14667555780627,1977,422.366885972802,4355.14688547579
3.09525542196774,1977,384.300167602888,5099.9970913146
2.92754439422834,1977,671.154856937793,3919.23294952776
4.29995979508078,1977,360.111036833037,5260.78123550213
2.77987978680092,1977,386.000697403578,4558.3840680646
3.63117709606139,1977,397.306683168515,5147.40202189257
3.34809013187935,1977,361.739622644823,4745.70144372982
3.11432827329506,1977,752.674825327639,3787.37022259225
3.49018663165231,1977,494.628475065148,4196.57285153688
2.9893039366448,1977,396.294975203884,5013.19438003245
3.16105751012961,1977,397.138452171782,4567.18975371388
3.11231430217365,1977,361.569651932589,4722.72031305419
4.20345249025166,1977,352.322197551779,5269.25625784233
3.23460884013906,1977,352.650917815702,4865.1714367515
3.24495525110935,1977,427.459558109052,4344.4127608806
3.18890375907976,1977,373.984509710844,5112.7015124027
3.19171187332623,1977,456.682077237424,4216.36478595985
2.6834567774395,1977,680.000797487797,3883.36556426672
3.03701595985425,1977,636.586983972628,3961.61394987942
3.0798888602637,1977,359.438574668263,4859.07008509957
2.99388010052426,1977,373.725342497651,4836.96779092008
3.473121871557,1977,594.790027580263,4066.24767445243
2.75003950142768,1977,381.08378002333,4542.09698291832
2.93668685062834,1977,684.23275287963,3896.41901462554
3.1556318374718,1977,359.979999518957,4790.62841356153
2.75299396217456,1977,373.341041529228,4992.73787969403
2.57623201810654,1977,380.86798020519,5028.74072646648
3.30006751851175,1977,380.580697880315,4826.66793041286
3.49510802545228,1977,414.168807975498,5030.01539807148
3.10856334936923,1977,754.403993847944,3810.89290780242
3.21574040661044,1977,708.171981930984,3826.50516609522
3.25917557423143,1977,418.538768366967,4307.46823481455
3.40989293810397,1977,334.476815396747,5364.08341300651
3.27987576254438,1977,380.951823202264,4836.56181725692
3.01653179929272,1977,404.103074068171,4422.80182977876
3.51210164469244,1977,309.706845538037,5345.52220904724
3.22220217346261,1977,441.934616515824,4268.90441135891
3.48658198632502,1977,412.500330395334,5085.23816978837
3.05697721423716,1977,415.840376117689,4341.2224505984
3.27723357361687,1977,462.702585691817,4197.02667088914
2.86106485946389,1977,367.178888759757,4988.23471255708
3.93367760013289,1977,368.552842085288,5218.08968179942
3.14892862551748,1977,700.785004436964,3881.5846805869
2.90632194641749,1977,416.547239336568,4373.42359292607
3.45874091979668,1977,591.673769154123,4029.33627255769
3.49335641938253,1977,578.959219115962,4079.060328224
3.64602557145569,1977,356.796506287734,5189.54888955868
3.31245493524741,1977,375.903814878722,4716.92002528201
3.77590078153404,1977,382.488626669913,5231.04505451962
2.81015958175957,1977,385.829811660815,4568.18695942336
3.13588477001026,1977,629.470659638823,3981.57679547121
2.81657672298386,1977,657.967221073245,3921.70928756715
3.33511775497799,1977,345.103796496219,4880.71187931469
4.24893556899413,1977,361.556667599761,5270.9546662375
3.2843359503649,1977,357.572596303072,4760.80570208906
3.10578831353492,1977,421.719797834303,4362.09699798301
3.89545894760497,1977,376.096011340801,5209.22387544196
3.01033295600361,1977,364.278637601943,4972.20288304571
3.5144284200235,1977,377.946481175118,4794.70524550476
3.35214370844449,1977,401.525629637474,4980.02392909016
2.94961237418097,1977,374.459000136876,4974.48695055132
3.34645661830458,1977,344.280643689883,4887.74784873879
4.13858407226873,1977,347.28172300401,5308.37449002343
3.41320732557478,1977,399.18571143599,4972.18261695317
3.20296798969168,1977,705.183297180005,3867.61876089747
3.88679449215989,1977,381.185240846989,4926.36062006759
3.50674778400487,1977,409.500787088586,5000.63369679403
3.01823744619058,1977,388.314973596462,4592.00374389281
3.17481158301358,1977,449.894760560271,4248.48202038206
3.08671740737666,1977,345.39737945568,4750.61513350711
3.80821582769175,1977,387.439298272879,4880.28683775897
3.064359803742,1977,757.57472449675,3802.28669204966
3.02250082131151,1977,389.95961566602,4529.80347470651
3.57367880927983,1977,406.570332131959,4963.5373790289
3.61835185268967,1977,352.172554628796,5204.68492855933
3.19275705522047,1977,372.311750085305,4491.76375389777
3.27432500406435,1977,479.957161364001,4250.64029698544
3.25883833577202,1977,379.156382574516,4964.18335484314
3.57252892645371,1977,397.688565657448,4861.74644699933
3.84785603251451,1977,383.932254627386,4891.87983054848
3.09120568239152,1977,371.447594087032,5104.12095086329
3.43065573692013,1977,388.260231429705,5128.69806997621
4.01103627649551,1977,370.862893821544,5279.54397184186
3.21619557164512,1977,696.45508773008,3843.64737617666
3.99298123050254,1977,340.036529852115,5325.63444740571
2.80196020347281,1977,380.565127036773,5075.10766954018
3.38317351496112,1977,407.679781845858,5036.74697812002
3.48151194064623,1977,334.484888802572,5357.26253955525
2.99015066943223,1977,369.701458120995,4684.98996773979
3.40181744449981,1977,299.131894707906,5362.3732724778
2.79741712899467,1977,380.235094682628,4533.37436914004
3.1885336709141,1977,726.762760441028,3786.22710606125
3.57327604276432,1977,410.244611016845,4975.79039315135
3.07104351603854,1977,689.98206234374,3835.53605452921
3.94149059976036,1977,356.697363915856,5336.66553530003
3.29783191243751,1977,480.081972977643,4225.78820973166
2.92848628108383,1977,370.564221401287,4830.69167853075
2.95848091786937,1977,371.65515951042,5093.38440622755
3.52485858863217,1977,414.788270207181,5020.68672632406
3.15825504385862,1977,796.537161781118,3790.38961968157
3.5190634016074,1977,370.067070828943,4758.34517016917
3.36414790121746,1977,487.732851510015,4177.88656553936
3.48053959095221,1977,542.191736024142,4123.27428230097
3.53281690520901,1977,409.818284619563,5102.43706619318
