"Density","Year","E_km","N_km"
6.46952044993911,1980,313.383956095939,5268.81400483409
5.50210083749119,1980,682.680122337097,3910.16877103275
5.47621695718867,1980,601.937170497138,3975.15062682401
6.13971562905319,1980,372.823559962931,5091.36113461224
6.32448909409736,1980,352.522329585418,5101.78811973939
6.10724587156472,1980,341.939423183811,4650.40670525361
6.4103496748973,1980,372.035782042209,5034.61334850645
3.83513574511649,1980,378.682996877512,5242.14805064066
5.27429057603418,1980,377.260410637301,4797.1893211092
6.38327640868145,1980,347.644495576622,5167.33615783705
6.1246906145076,1980,359.873402872771,4945.22241649099
5.24420721095407,1980,369.001007345558,5193.43490579248
5.56414597571682,1980,742.815335791961,3793.35363819413
5.58964023008095,1980,622.223317878572,3897.00005019996
5.87395244171695,1980,402.653706352057,4323.90431651755
5.95361318047768,1980,358.506562666668,4509.28850478538
5.69988507772203,1980,496.711676532258,4141.23766011716
6.53227608969693,1980,304.470815576216,5314.62365838222
5.95372013589779,1980,380.232908393231,4965.45580382298
6.40892629064297,1980,334.569878777312,5259.23959927439
6.65947569641419,1980,342.806016967986,4890.83424276881
5.74303627076757,1980,380.557545757909,4446.61816312035
5.87497111376474,1980,386.462577309812,5083.25371521618
5.58320078170707,1980,687.488905502834,3886.38818570333
5.57355741816505,1980,614.349047181043,3963.64529597435
6.14362985737528,1980,358.852535933714,4937.24787005583
6.41296453096179,1980,381.519223310697,5028.92605714378
5.71845987711596,1980,507.636776659035,4123.7797679168
5.56207130216425,1980,606.369459851406,3930.61589642396
5.82879733860882,1980,389.448792920417,4418.61315052431
6.13877833706414,1980,359.804978564007,4917.59944458485
5.80043219667637,1980,377.419659253505,4943.05612489101
5.57612630899523,1980,682.416910120157,3897.39580156817
4.75482417747327,1980,395.527343897465,4842.51831904862
6.13519883954208,1980,368.072204589581,4971.82078371722
5.51209041170313,1980,804.376731479141,3778.31327370525
5.8968969528045,1980,399.631740513096,4982.26791744872
6.15168419861469,1980,341.165754058017,4673.56239500643
4.83340415353144,1980,398.485442713374,4889.88145315138
6.2830062548247,1980,360.734350253986,5092.78756811206
6.75545236493676,1980,290.764893448037,5346.95168731565
5.89837634937917,1980,413.441138342102,4370.61493976003
5.48075964602775,1980,715.903611517411,3820.84079585242
6.07272569539885,1980,375.365249165777,5128.56934005689
3.43484781113782,1980,386.437869093449,5216.30451795563
6.0488716583541,1980,374.463729808033,4579.30919411034
5.8480723111811,1980,365.260412076038,4658.26409539434
5.50504897134661,1980,360.10203502049,5266.43473074446
6.23338822908026,1980,348.007692586509,5365.61013263358
6.20825217879696,1980,343.001013551174,5270.14139350708
5.43722176821936,1980,388.434416092153,5137.40146792277
5.60778640602345,1980,529.098339231818,4102.98761974669
5.4898113887364,1980,632.539350895811,3973.31566397326
6.51388178656777,1980,335.924780226391,4907.79043924602
5.61986222479307,1980,728.398847904279,3789.43379578969
5.36852362640423,1980,403.356414770521,5063.64239491749
5.22162869168419,1980,569.839768028592,4086.00497908347
6.0040027619174,1980,383.213819992319,4548.03878862171
6.27253061540233,1980,393.647146545747,4995.96018964178
5.73082636788148,1980,427.59766513801,4286.87820065701
6.47324322214557,1980,326.732890364825,5276.37407582175
5.86364124306253,1980,388.252612045607,4558.32009923075
5.82569790292421,1980,387.361230769546,5103.30668150842
6.27947708632566,1980,347.436394172515,4997.78106541519
4.7567309925418,1980,398.124359558211,4860.54703363453
5.36684970763688,1980,367.817674008702,4731.21832852613
5.74538675627882,1980,356.786970963931,5336.79677413128
5.28738003449902,1980,505.041690231368,4181.28560579956
5.70959413845686,1980,677.690474241431,3822.24209403898
6.40132148853357,1980,338.346081470928,5191.84032263391
6.29245544460775,1980,375.762940564607,5054.28390561191
5.43345642901408,1980,481.997214914232,4210.66929902724
6.41015432450817,1980,338.790973768211,4815.61902929327
5.57655852409775,1980,395.134200338428,5096.53615359432
5.57064625570582,1980,652.526990458097,3930.78287813138
6.02597709589952,1980,357.415519016724,4529.34475197062
5.37990925202285,1980,465.577459014614,4264.84898256023
5.9599506779024,1980,374.353891430762,4850.0852295265
6.37535397788431,1980,333.842118590682,5177.08590557791
5.6676767097805,1980,674.862030776863,3880.40093566982
5.63278420447588,1980,690.595714636002,3838.44975393208
6.26363744029321,1980,349.286188650514,4960.4416151882
6.54464242432904,1980,332.450968584048,5335.12265223962
6.36663066678318,1980,357.354083035421,4863.79216574224
5.26493961588799,1980,558.308875162365,4090.74965017253
5.5395626418162,1980,633.828021459063,3962.91902633512
5.6427621494011,1980,656.920340939647,3884.10150809425
5.19961632239465,1980,388.014300407065,4847.24161426939
6.35881982439072,1980,354.470008273048,5132.32964502934
5.82881392143188,1980,363.523114918544,4675.34598866062
6.48885803465484,1980,331.479059548074,5306.48153525271
5.45594824083941,1980,384.979413817491,4880.55432736786
6.07078535591242,1980,347.706795087163,4581.09246922992
6.41502713872361,1980,331.140622271762,4935.75715005428
5.46748019482868,1980,572.159861026697,4023.67230813024
5.59087605553115,1980,355.993805640585,5315.5174011563
6.57940911792429,1980,325.24509514425,5327.17314440693
5.49541691486528,1980,497.03104849854,4167.06415788855
6.11145533708125,1980,399.788531588432,5010.32391796625
6.50985687163798,1980,311.563126535377,5286.43074774651
5.34243038958568,1980,388.926149589271,4612.63670552958
6.33239368390547,1980,333.277949339567,4980.34649066739
5.44038756971512,1980,382.182870954243,4891.36179786568
5.24255445568795,1980,536.408983836981,4130.90422533084
5.63753432551088,1980,687.806186298599,3867.64541428868
6.1205424844431,1980,349.751504920429,5354.15070684308
5.47676426034447,1980,775.612080294549,3807.5757015965
