"Density","Year","E_km","N_km"
5.75615832399616,1977,426.550526042158,4379.12027543136
5.84846498659852,1977,515.414667860106,4137.33938371588
6.0305805508286,1977,358.794243347014,5345.37137869473
5.96450056463961,1977,422.366885972802,4355.14688547579
6.45654363138472,1977,384.300167602888,5099.9970913146
5.98600300778809,1977,671.154856937793,3919.23294952776
6.42242359550159,1977,360.111036833037,5260.78123550213
5.69837321172662,1977,386.000697403578,4558.3840680646
5.78792198812708,1977,397.306683168515,5147.40202189257
5.83487679789007,1977,361.739622644823,4745.70144372982
5.8687305751761,1977,752.674825327639,3787.37022259225
5.56755984361203,1977,494.628475065148,4196.57285153688
6.86746627189433,1977,396.294975203884,5013.19438003245
5.58603848504056,1977,397.138452171782,4567.18975371388
5.8408112205126,1977,361.569651932589,4722.72031305419
6.50825436381375,1977,352.322197551779,5269.25625784233
6.49063609723132,1977,352.650917815702,4865.1714367515
5.78494087071056,1977,427.459558109052,4344.4127608806
6.62738704360024,1977,373.984509710844,5112.7015124027
5.86143937134985,1977,456.682077237424,4216.36478595985
6.10038405487029,1977,680.000797487797,3883.36556426672
5.88957870448754,1977,636.586983972628,3961.61394987942
6.43893823190116,1977,359.438574668263,4859.07008509957
6.31862004961889,1977,373.725342497651,4836.96779092008
5.65607583183669,1977,594.790027580263,4066.24767445243
5.67591218650385,1977,381.08378002333,4542.09698291832
5.902971283795,1977,684.23275287963,3896.41901462554
6.24957847775075,1977,359.979999518957,4790.62841356153
6.47963028876371,1977,373.341041529228,4992.73787969403
6.74521914550505,1977,380.86798020519,5028.74072646648
5.99946517793198,1977,380.580697880315,4826.66793041286
5.84329712765583,1977,414.168807975498,5030.01539807148
5.76697614247695,1977,754.403993847944,3810.89290780242
5.74556336599642,1977,708.171981930984,3826.50516609522
6.04863144066694,1977,418.538768366967,4307.46823481455
6.52228318554576,1977,334.476815396747,5364.08341300651
6.03798270102114,1977,380.951823202264,4836.56181725692
5.88658063322542,1977,404.103074068171,4422.80182977876
6.61846678144572,1977,309.706845538037,5345.52220904724
5.85531380672573,1977,441.934616515824,4268.90441135891
5.74521498618178,1977,412.500330395334,5085.23816978837
6.16099590803259,1977,415.840376117689,4341.2224505984
5.81422856492177,1977,462.702585691817,4197.02667088914
6.37845989476822,1977,367.178888759757,4988.23471255708
5.97573984807811,1977,368.552842085288,5218.08968179942
5.75567666870074,1977,700.785004436964,3881.5846805869
6.1011214787243,1977,416.547239336568,4373.42359292607
5.66299786331474,1977,591.673769154123,4029.33627255769
5.55849152973013,1977,578.959219115962,4079.060328224
6.58393034425274,1977,356.796506287734,5189.54888955868
5.51189931345931,1977,375.903814878722,4716.92002528201
5.39514273077235,1977,382.488626669913,5231.04505451962
5.66750782778427,1977,385.829811660815,4568.18695942336
5.84727920190976,1977,629.470659638823,3981.57679547121
6.14276418913995,1977,657.967221073245,3921.70928756715
6.59572580692437,1977,345.103796496219,4880.71187931469
6.22642984634954,1977,361.556667599761,5270.9546662375
6.0199421064179,1977,357.572596303072,4760.80570208906
5.97025705044625,1977,421.719797834303,4362.09699798301
5.69645848613696,1977,376.096011340801,5209.22387544196
6.34447416285241,1977,364.278637601943,4972.20288304571
5.70668443625021,1977,377.946481175118,4794.70524550476
6.35601074035436,1977,401.525629637474,4980.02392909016
6.39789793852296,1977,374.459000136876,4974.48695055132
6.59896929817802,1977,344.280643689883,4887.74784873879
6.32160197551881,1977,347.28172300401,5308.37449002343
6.25918250446423,1977,399.18571143599,4972.18261695317
5.71487768768413,1977,705.183297180005,3867.61876089747
5.86758173804882,1977,381.185240846989,4926.36062006759
6.07679996728917,1977,409.500787088586,5000.63369679403
5.60272993660339,1977,388.314973596462,4592.00374389281
5.862333397788,1977,449.894760560271,4248.48202038206
6.25513839414055,1977,345.39737945568,4750.61513350711
5.85938337654675,1977,387.439298272879,4880.28683775897
5.82015174568833,1977,757.57472449675,3802.28669204966
5.53790744497406,1977,389.95961566602,4529.80347470651
5.80405266416919,1977,406.570332131959,4963.5373790289
6.64653174685267,1977,352.172554628796,5204.68492855933
5.55875543009572,1977,372.311750085305,4491.76375389777
5.5382602092331,1977,479.957161364001,4250.64029698544
6.36452409436241,1977,379.156382574516,4964.18335484314
5.52191149059003,1977,397.688565657448,4861.74644699933
5.81993047835191,1977,383.932254627386,4891.87983054848
6.59122540370094,1977,371.447594087032,5104.12095086329
6.47432247340624,1977,388.260231429705,5128.69806997621
5.63272630903561,1977,370.862893821544,5279.54397184186
5.8009452798788,1977,696.45508773008,3843.64737617666
6.43064568820991,1977,340.036529852115,5325.63444740571
6.44640436094024,1977,380.565127036773,5075.10766954018
6.12808432459821,1977,407.679781845858,5036.74697812002
6.51973478412291,1977,334.484888802572,5357.26253955525
5.63666069502181,1977,369.701458120995,4684.98996773979
6.65698239429065,1977,299.131894707906,5362.3732724778
5.65040885721485,1977,380.235094682628,4533.37436914004
5.87315785392093,1977,726.762760441028,3786.22710606125
5.77169667630211,1977,410.244611016845,4975.79039315135
5.91276830605671,1977,689.98206234374,3835.53605452921
6.05906763651973,1977,356.697363915856,5336.66553530003
5.55264708351969,1977,480.081972977643,4225.78820973166
6.38206017433425,1977,370.564221401287,4830.69167853075
6.52658835847575,1977,371.65515951042,5093.38440622755
5.81528377652298,1977,414.788270207181,5020.68672632406
5.80834147643271,1977,796.537161781118,3790.38961968157
5.67765477486892,1977,370.067070828943,4758.34517016917
5.69198965737309,1977,487.732851510015,4177.88656553936
5.5577350127547,1977,542.191736024142,4123.27428230097
5.73205722029119,1977,409.818284619563,5102.43706619318
