"Area_km2","E_km","N_km"
104,377.847631680445,4870.79383169247
156,358.73673628865,4918.42322572212
113.438388936,357.559803666943,4962.54718227098
98.266964012,679.029940476824,3919.15027637926
109.80358466,365.814154408208,4843.84156417632
72,340.828192328675,5308.01421032625
84,361.829634591118,4864.97455152788
132,387.386692053067,4916.58166390069
80,380.244945096068,5198.46811202491
104,389.737279472004,4853.20989624709
136,691.547097481288,3873.10149775024
128,469.59050774196,4249.81340809726
136,367.361955654573,4793.64432499413
140.597619192,430.546264452038,4308.0045499031
90.770876164,378.920594269443,4463.33377815909
132.907674456,397.200252856762,4871.26703553918
105.196102984,414.924837568329,5039.97969018243
88,403.432826901872,4991.9676783741
60.98904568,377.37608232792,4688.36888214358
136,376.236715750645,4898.57502483431
69.2975911306108,371.299653622458,4469.99920018702
163.694851296,397.699853648432,4935.84223057766
65.107949604,400.582926377055,4436.52129237452
125.3366265,370.617400248715,5028.81094038602
105.17511,399.304801590246,5157.9642415338
83.998281608,391.97546678466,4565.62752735289
234.634677424,641.903625549379,3881.26323796404
75.242965172,368.936884114459,5287.85190231073
76,376.407030019031,4845.20619050456
126.11758546,416.121296980805,5055.69019628755
90.754502484,385.131589009312,5150.30508073564
124,379.500748541611,4955.25772557827
127.580934804,356.994419565893,5317.44653552134
92,386.728330473429,4845.32821762295
132.540858184,780.904527121852,3806.96591395169
140,407.049186011554,5047.63893121916
127.843343156,642.38164971185,3955.15593520057
101.131146712,412.519445011289,5011.39803598337
140,369.773939637161,4960.71938928054
140.610096772,456.343886498104,4236.90912033366
128,365.835327772859,4873.36361043651
96,379.938728441746,4983.54157081726
87.72437294088,847.991427056454,3778.36586216593
91.114925584,705.955052775984,3846.04859194519
93.89986468,374.577973082155,5167.95288845873
131.268310844,570.018955634788,4086.01844814427
143.178411136,378.075500368383,4515.08161844931
94.001636908,381.203415604256,4660.4897727138
89.29733172,809.551821952291,3798.02688045652
92,378.249680872918,4639.57446085165
111.17053498,352.046311204205,5326.6728315436
84,359.99442303529,5200.91378063752
148,370.105273722081,4914.06845026512
127.77902498,526.511133154827,4111.45093118881
96,399.121585933508,5001.47483854545
0,273.350887801206,5366.99443736624
88,351.279023636714,5357.91502604585
143.779810304,860.332920421005,3775.90608661956
66.334845196,402.964799547063,4926.28464008109
80,387.83883028405,4825.03972801606
148.95444332,375.01090871775,5268.27081661457
132.7878267,396.032370824349,5178.79192037995
108,403.543384482016,5028.61453492683
178.56387414,837.26072078008,3777.62947974692
96,351.162762104444,4749.61901008666
126.129196392,506.156117032434,4195.38198480746
113.125552792,704.205681120109,3836.83158784701
84,373.594449897328,4808.17999353592
84,407.084618645147,5020.84810641104
65.50674544,381.652013566945,5141.38735959073
142.24006736,358.92998652687,4953.70483453353
127.532354912,529.282935620614,4150.92910183325
108.962774644,401.909954756901,5120.78130200091
92,374.248212622717,4660.26130703662
64,374.701457821024,4824.4197888944
136,399.840470629215,5061.84648329883
107.680871548,365.453806933462,5065.2556811644
84.638819956,377.623406765406,5127.45932017484
133.94734802,367.56267623707,4814.23348994307
154.901866788,373.735242585679,4768.40438631347
160,371.532613437274,5231.45331149023
112,480.084440997913,4213.67760685034
